# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	APPS	1.7
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	PCT_AREA	98
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	PER_APP	33
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	PER_YEAR	58
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2011	APPS	1.8
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2011	PCT_AREA	96
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2011	PER_APP	41
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2011	PER_YEAR	74
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2019	APPS	1.7
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2019	PCT_AREA	92
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2019	PER_APP	45
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2019	PER_YEAR	78
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	APPS	1.7
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PCT_AREA	97
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PER_APP	56
BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PER_YEAR	94
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	APPS	1.32
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	PCT_AREA	80
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	PER_APP	52
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	PER_YEAR	69
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	APPS	1.6
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PCT_AREA	98
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PER_APP	61
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PER_YEAR	98
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2001	APPS	1.6
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2001	PCT_AREA	94
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2001	PER_APP	65
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2001	PER_YEAR	109
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	APPS	1.6
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	PCT_AREA	98
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	PER_APP	66
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2003	PER_YEAR	111
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	APPS	1.9
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	PCT_AREA	99
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	PER_APP	65
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	PER_YEAR	121
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2010	APPS	2
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2010	PCT_AREA	100
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2010	PER_APP	78
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2010	PER_YEAR	160
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2014	APPS	2
CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	2014	PCT_AREA	99
