# USDA NASS Quick Stats, North Dakota, state level, weeks ending on or after 08-25.
# DS = FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK
# SOY/CORN = SOYBEANS/CORN - PROGRESS, MEASURED IN PCT HARVESTED
# Retrieved 2026-09-19 from qs.crops_20260919.txt.gz. 17 U.S.C. 105, no copyright.
year	week_ending	series	value
1995	1995-08-27	DS	4
1995	1995-09-03	DS	6
1995	1995-09-10	DS	4
1995	1995-09-17	DS	7
1995	1995-09-24	DS	5
1995	1995-10-01	DS	6
1995	1995-10-08	DS	4
1995	1995-10-15	DS	6
1995	1995-10-22	DS	5
1995	1995-10-29	DS	5
1995	1995-11-05	DS	2
1996	1996-08-25	DS	6
1996	1996-09-01	DS	7
1996	1996-09-08	DS	5
1996	1996-09-15	DS	7
1996	1996-09-22	DS	3
1996	1996-09-29	DS	3
1996	1996-10-06	DS	5
1996	1996-10-13	DS	7
1996	1996-10-20	DS	6
1996	1996-10-27	DS	3
1996	1996-11-03	DS	4
1997	1997-08-31	DS	5
1997	1997-09-07	DS	6
1997	1997-09-14	DS	6
1997	1997-09-21	DS	6
1997	1997-09-28	DS	7
1997	1997-10-05	DS	7
1997	1997-10-12	DS	4
1997	1997-10-19	DS	5
1997	1997-10-26	DS	5
1997	1997-11-02	DS	5
1998	1998-08-30	DS	6
1998	1998-09-06	DS	7
1998	1998-09-13	DS	6
1998	1998-09-20	DS	6
1998	1998-09-27	DS	6
1998	1998-10-04	DS	5
1998	1998-10-11	DS	3
1998	1998-10-18	DS	3
1998	1998-10-25	DS	6
1998	1998-11-01	DS	5
1999	1999-08-29	DS	6
1999	1999-09-05	DS	2
1999	1999-09-12	DS	3
1999	1999-09-19	DS	4
1999	1999-09-26	DS	6
1999	1999-10-03	DS	5
1999	1999-10-10	DS	7
1999	1999-10-17	DS	5
1999	1999-10-24	DS	7
1999	1999-10-31	DS	7
1999	1999-11-07	DS	7
2000	2000-08-27	DS	6
2000	2000-09-03	CORN	0
2000	2000-09-03	DS	4
2000	2000-09-10	CORN	0
2000	2000-09-10	DS	5
2000	2000-09-10	SOY	1
2000	2000-09-17	CORN	0
2000	2000-09-17	DS	7
2000	2000-09-17	SOY	10
2000	2000-09-24	CORN	1
2000	2000-09-24	DS	4
2000	2000-09-24	SOY	19
2000	2000-10-01	CORN	4
2000	2000-10-01	DS	6
2000	2000-10-01	SOY	49
2000	2000-10-08	CORN	18
2000	2000-10-08	DS	5
2000	2000-10-08	SOY	75
2000	2000-10-15	CORN	28
2000	2000-10-15	DS	6
2000	2000-10-15	SOY	90
2000	2000-10-22	CORN	51
2000	2000-10-22	DS	7
2000	2000-10-22	SOY	97
2000	2000-10-29	CORN	78
2000	2000-10-29	DS	4
2000	2000-10-29	SOY	100
2000	2000-11-05	CORN	85
2000	2000-11-05	DS	1
2000	2000-11-05	SOY	100
2000	2000-11-12	CORN	85
2001	2001-08-26	DS	6.6
2001	2001-09-02	DS	6.8
2001	2001-09-09	CORN	0
2001	2001-09-09	DS	5.8
2001	2001-09-16	CORN	0
2001	2001-09-16	DS	4.9
2001	2001-09-16	SOY	2
2001	2001-09-23	CORN	1
2001	2001-09-23	DS	5.4
2001	2001-09-23	SOY	4
2001	2001-09-30	CORN	3
2001	2001-09-30	DS	6.8
2001	2001-09-30	SOY	37
2001	2001-10-07	CORN	11
2001	2001-10-07	DS	6.9
2001	2001-10-07	SOY	72
2001	2001-10-14	CORN	21
2001	2001-10-14	DS	5.5
2001	2001-10-14	SOY	86
2001	2001-10-21	CORN	45
2001	2001-10-21	DS	6.3
2001	2001-10-21	SOY	96
2001	2001-10-28	CORN	73
2001	2001-10-28	DS	3.9
2001	2001-10-28	SOY	98
2001	2001-11-04	CORN	92
2001	2001-11-04	DS	5.9
